,carriers,country_code
21,"[{'name': 'GB: 3', 'in_use': True, 'carrier_id': '2340000', 'value': [{'in_use': True, 'hni_id': '23420'}]}, {'name': 'GB: O2 (UK)', 'in_use': True, 'carrier_id': '2340001', 'value': [{'in_use': True, 'hni_id': '23402'}, {'in_use': True, 'hni_id': '23410'}, {'in_use': True, 'hni_id': '23411'}]}, {'name': 'GB: Orange (unavailable)', 'in_use': False, 'carrier_id': '2340002', 'value': [{'in_use': False, 'hni_id': '23433'}, {'in_use': False, 'hni_id': '23434'}]}, {'name': 'GB: T-Mobile UK (unavailable)', 'in_use': True, 'carrier_id': '2340003', 'value': []}, {'name': 'GB: Virgin Mobile', 'in_use': False, 'carrier_id': '2340004', 'value': [{'in_use': True, 'hni_id': '23438'}]}, {'name': 'GB: Vodafone UK', 'in_use': True, 'carrier_id': '2340005', 'value': [{'in_use': True, 'hni_id': '23407'}, {'in_use': True, 'hni_id': '23415'}, {'in_use': True, 'hni_id': '23591'}, {'in_use': True, 'hni_id': '23592'}]}, {'name': 'GB: EE', 'in_use': True, 'carrier_id': '2340006', 'value': [{'in_use': True, 'hni_id': '23430'}, {'in_use': True, 'hni_id': '23431'}, {'in_use': True, 'hni_id': '23432'}, {'in_use': True, 'hni_id': '23433'}, {'in_use': True, 'hni_id': '23434'}, {'in_use': True, 'hni_id': '23486'}, {'in_use': True, 'hni_id': '23501'}, {'in_use': True, 'hni_id': '23502'}]}, {'name': 'GB: Sky', 'in_use': True, 'carrier_id': '2340007', 'value': [{'in_use': True, 'hni_id': '23457'}]}, {'name': 'GB: iD Mobile', 'in_use': True, 'carrier_id': '2340008', 'value': [{'in_use': True, 'hni_id': '23454'}]}, {'name': 'GB: Lebara', 'in_use': True, 'carrier_id': '2340009', 'value': [{'in_use': True, 'hni_id': '23487'}]}, {'name': 'GB: spusu', 'in_use': True, 'carrier_id': '2340010', 'value': [{'in_use': True, 'hni_id': '23440'}]}, {'name': 'GB: Lycamobile UK', 'in_use': True, 'carrier_id': '2340011', 'value': [{'in_use': True, 'hni_id': '23426'}]}, {'name': 'GB: BT Mobile', 'in_use': True, 'carrier_id': '2340012', 'value': [{'in_use': True, 'hni_id': '23400'}, {'in_use': True, 'hni_id': '23476'}, {'in_use': True, 'hni_id': '23577'}, {'in_use': True, 'hni_id': '23408'}]}, {'name': 'GB: TalkTalk', 'in_use': True, 'carrier_id': '2340013', 'value': [{'in_use': True, 'hni_id': '23416'}]}]",GB
22,"[{'name': 'GR: Cosmote', 'in_use': True, 'carrier_id': '2020000', 'value': [{'in_use': True, 'hni_id': '20201'}, {'in_use': True, 'hni_id': '20202'}]}, {'name': 'GR: Vodafone', 'in_use': True, 'carrier_id': '2020001', 'value': [{'in_use': True, 'hni_id': '20205'}]}, {'name': 'GR: Wind', 'in_use': True, 'carrier_id': '2020002', 'value': [{'in_use': True, 'hni_id': '20210'}, {'in_use': True, 'hni_id': '20209'}]}]",GR
23,"[{'name': 'HU: Telekom', 'in_use': True, 'carrier_id': '2160000', 'value': [{'in_use': True, 'hni_id': '21630'}]}, {'name': 'HU: Vodafone', 'in_use': True, 'carrier_id': '2160001', 'value': [{'in_use': True, 'hni_id': '21670'}]}, {'name': 'HU: Telenor Hungary', 'in_use': True, 'carrier_id': '2160002', 'value': [{'in_use': True, 'hni_id': '21601'}]}, {'name': 'HU: DIGI', 'in_use': False, 'carrier_id': '2160003', 'value': [{'in_use': False, 'hni_id': '21603'}]}]",HU
24,"[{'name': 'ID: 3', 'in_use': True, 'carrier_id': '5100000', 'value': [{'in_use': True, 'hni_id': '51089'}]}, {'name': 'ID: Indosat Ooredoo', 'in_use': True, 'carrier_id': '5100001', 'value': [{'in_use': True, 'hni_id': '51001'}]}, {'name': 'ID: Smartfren', 'in_use': False, 'carrier_id': '5100002', 'value': [{'in_use': False, 'hni_id': '51009'}]}, {'name': 'ID: Telkomsel', 'in_use': True, 'carrier_id': '5100003', 'value': [{'in_use': True, 'hni_id': '51010'}]}, {'name': 'ID: XL', 'in_use': True, 'carrier_id': '5100004', 'value': [{'in_use': True, 'hni_id': '51011'}]}]",ID
25,"[{'name': 'IE:3', 'in_use': True, 'carrier_id': '2720000', 'value': [{'in_use': True, 'hni_id': '27205'}, {'in_use': True, 'hni_id': '27202'}, {'in_use': True, 'hni_id': '27217'}]}, {'name': 'IE:Vodafone', 'in_use': True, 'carrier_id': '2720001', 'value': [{'in_use': True, 'hni_id': '27201'}]}, {'name': 'IE:Eir', 'in_use': True, 'carrier_id': '2720002', 'value': [{'in_use': True, 'hni_id': '27203'}, {'in_use': True, 'hni_id': '27207'}, {'in_use': True, 'hni_id': '27208'}]}, {'name': 'IE:Tesco Mobile', 'in_use': True, 'carrier_id': '2720003', 'value': [{'in_use': True, 'hni_id': '27211'}]}, {'name': 'IE: Lycamobile Ireland', 'in_use': True, 'carrier_id': '2720004', 'value': [{'in_use': True, 'hni_id': '27213'}]}, {'name': 'IE: Virgin Mobile Ireland', 'in_use': True, 'carrier_id': '2720005', 'value': [{'in_use': True, 'hni_id': '27215'}]}]",IE
26,"[{'name': 'IL: Pelephone', 'in_use': True, 'carrier_id': '4250000', 'value': [{'in_use': True, 'hni_id': '42503'}]}, {'name': 'IL: Partner', 'in_use': True, 'carrier_id': '4250001', 'value': [{'in_use': True, 'hni_id': '42501'}, {'in_use': True, 'hni_id': '42510'}]}, {'name': 'IL: Cellcom', 'in_use': True, 'carrier_id': '4250002', 'value': [{'in_use': True, 'hni_id': '42502'}]}, {'name': 'IL: Hot Mobile', 'in_use': True, 'carrier_id': '4250003', 'value': [{'in_use': True, 'hni_id': '42507'}]}, {'name': 'IL: Golan Telecom', 'in_use': False, 'carrier_id': '4250004', 'value': [{'in_use': False, 'hni_id': '42508'}]}]",IL
27,"[{'name': 'IN: AirTel', 'in_use': True, 'carrier_id': '4040000', 'value': [{'in_use': True, 'hni_id': '40402'}, {'in_use': True, 'hni_id': '40403'}, {'in_use': True, 'hni_id': '40410'}, {'in_use': True, 'hni_id': '40431'}, {'in_use': True, 'hni_id': '40440'}, {'in_use': True, 'hni_id': '40470'}, {'in_use': True, 'hni_id': '40490'}, {'in_use': True, 'hni_id': '40492'}, {'in_use': True, 'hni_id': '40493'}, {'in_use': True, 'hni_id': '40494'}, {'in_use': True, 'hni_id': '40495'}, {'in_use': True, 'hni_id': '40496'}, {'in_use': True, 'hni_id': '40497'}, {'in_use': True, 'hni_id': '40498'}, {'in_use': True, 'hni_id': '40551'}, {'in_use': True, 'hni_id': '40552'}, {'in_use': True, 'hni_id': '40553'}, {'in_use': True, 'hni_id': '40554'}, {'in_use': True, 'hni_id': '40556'}, {'in_use': True, 'hni_id': '40416'}, {'in_use': True, 'hni_id': '40445'}, {'in_use': True, 'hni_id': '40449'}, {'in_use': True, 'hni_id': '40555'}]}, {'name': 'IN: cellone', 'in_use': True, 'carrier_id': '4040001', 'value': [{'in_use': True, 'hni_id': '40434'}, {'in_use': True, 'hni_id': '40438'}, {'in_use': True, 'hni_id': '40451'}, {'in_use': True, 'hni_id': '40453'}, {'in_use': True, 'hni_id': '40454'}, {'in_use': True, 'hni_id': '40455'}, {'in_use': True, 'hni_id': '40457'}, {'in_use': True, 'hni_id': '40458'}, {'in_use': True, 'hni_id': '40459'}, {'in_use': True, 'hni_id': '40462'}, {'in_use': True, 'hni_id': '40464'}, {'in_use': True, 'hni_id': '40466'}, {'in_use': True, 'hni_id': '40471'}, {'in_use': True, 'hni_id': '40472'}, {'in_use': True, 'hni_id': '40473'}, {'in_use': True, 'hni_id': '40474'}, {'in_use': True, 'hni_id': '40475'}, {'in_use': True, 'hni_id': '40476'}, {'in_use': True, 'hni_id': '40477'}, {'in_use': True, 'hni_id': '40479'}, {'in_use': True, 'hni_id': '40480'}, {'in_use': True, 'hni_id': '40481'}]}, {'name': 'IN: IDEA', 'in_use': True, 'carrier_id': '4040002', 'value': [{'in_use': True, 'hni_id': '40404'}, {'in_use': True, 'hni_id': '40407'}, {'in_use': True, 'hni_id': '40412'}, {'in_use': True, 'hni_id': '40414'}, {'in_use': True, 'hni_id': '40419'}, {'in_use': True, 'hni_id': '40422'}, {'in_use': True, 'hni_id': '40424'}, {'in_use': True, 'hni_id': '40444'}, {'in_use': True, 'hni_id': '40456'}, {'in_use': True, 'hni_id': '40478'}, {'in_use': True, 'hni_id': '40482'}, {'in_use': True, 'hni_id': '40487'}, {'in_use': True, 'hni_id': '40489'}, {'in_use': True, 'hni_id': '40570'}, {'in_use': True, 'hni_id': '405799'}, {'in_use': True, 'hni_id': '405845'}, {'in_use': True, 'hni_id': '405846'}, {'in_use': True, 'hni_id': '405847'}, {'in_use': True, 'hni_id': '405848'}, {'in_use': True, 'hni_id': '405849'}, {'in_use': True, 'hni_id': '405850'}, {'in_use': True, 'hni_id': '405851'}, {'in_use': True, 'hni_id': '405852'}, {'in_use': True, 'hni_id': '405853'}, {'in_use': True, 'hni_id': '405908'}, {'in_use': True, 'hni_id': '405909'}, {'in_use': True, 'hni_id': '405910'}, {'in_use': True, 'hni_id': '405911'}]}, {'name': 'IN: Jio', 'in_use': True, 'carrier_id': '4050003', 'value': [{'in_use': True, 'hni_id': '405840'}, {'in_use': True, 'hni_id': '405854'}, {'in_use': True, 'hni_id': '405855'}, {'in_use': True, 'hni_id': '405856'}, {'in_use': True, 'hni_id': '405857'}, {'in_use': True, 'hni_id': '405858'}, {'in_use': True, 'hni_id': '405859'}, {'in_use': True, 'hni_id': '405860'}, {'in_use': True, 'hni_id': '405861'}, {'in_use': True, 'hni_id': '405862'}, {'in_use': True, 'hni_id': '405863'}, {'in_use': True, 'hni_id': '405864'}, {'in_use': True, 'hni_id': '405865'}, {'in_use': True, 'hni_id': '405866'}, {'in_use': True, 'hni_id': '405867'}, {'in_use': True, 'hni_id': '405868'}, {'in_use': True, 'hni_id': '405869'}, {'in_use': True, 'hni_id': '405870'}, {'in_use': True, 'hni_id': '405871'}, {'in_use': True, 'hni_id': '405872'}, {'in_use': True, 'hni_id': '405873'}, {'in_use': True, 'hni_id': '405874'}]}, {'name': 'IN: Vodafone India', 'in_use': True, 'carrier_id': '4040004', 'value': [{'in_use': True, 'hni_id': '40401'}, {'in_use': True, 'hni_id': '40405'}, {'in_use': True, 'hni_id': '40411'}, {'in_use': True, 'hni_id': '40413'}, {'in_use': True, 'hni_id': '40415'}, {'in_use': True, 'hni_id': '40420'}, {'in_use': True, 'hni_id': '40427'}, {'in_use': True, 'hni_id': '40430'}, {'in_use': True, 'hni_id': '40443'}, {'in_use': True, 'hni_id': '40446'}, {'in_use': True, 'hni_id': '40460'}, {'in_use': True, 'hni_id': '40484'}, {'in_use': True, 'hni_id': '40486'}, {'in_use': True, 'hni_id': '40488'}, {'in_use': True, 'hni_id': '40566'}, {'in_use': True, 'hni_id': '40567'}, {'in_use': True, 'hni_id': '405750'}, {'in_use': True, 'hni_id': '405751'}, {'in_use': True, 'hni_id': '405752'}, {'in_use': True, 'hni_id': '405753'}, {'in_use': True, 'hni_id': '405754'}, {'in_use': True, 'hni_id': '405755'}, {'in_use': True, 'hni_id': '405756'}]}]",IN
28,"[{'name': 'IQ: Asia Cell', 'in_use': True, 'carrier_id': '4180000', 'value': [{'in_use': True, 'hni_id': '41805'}, {'in_use': True, 'hni_id': '41800'}]}, {'name': 'IQ: Zain', 'in_use': True, 'carrier_id': '4180001', 'value': [{'in_use': True, 'hni_id': '41820'}, {'in_use': True, 'hni_id': '41830'}]}, {'name': 'IQ: Korek', 'in_use': True, 'carrier_id': '4180002', 'value': [{'in_use': True, 'hni_id': '41840'}]}]",IQ
29,"[{'name': 'IT: 3 Italia', 'in_use': False, 'carrier_id': '2220000', 'value': [{'in_use': False, 'hni_id': '22237'}, {'in_use': False, 'hni_id': '22299'}]}, {'name': 'IT: Iliad', 'in_use': True, 'carrier_id': '2220001', 'value': [{'in_use': True, 'hni_id': '22250'}]}, {'name': 'IT: TIM', 'in_use': True, 'carrier_id': '2220002', 'value': [{'in_use': True, 'hni_id': '22201'}, {'in_use': True, 'hni_id': '22243'}, {'in_use': True, 'hni_id': '22248'}]}, {'name': 'IT: Vodafone', 'in_use': True, 'carrier_id': '2220003', 'value': [{'in_use': True, 'hni_id': '22206'}, {'in_use': True, 'hni_id': '22210'}]}, {'name': 'IT: Wind', 'in_use': False, 'carrier_id': '2220004', 'value': [{'in_use': False, 'hni_id': '22288'}]}, {'name': 'IT: WINDTRE', 'in_use': True, 'carrier_id': '2220005', 'value': [{'in_use': True, 'hni_id': '22288'}, {'in_use': True, 'hni_id': '22237'}, {'in_use': True, 'hni_id': '22299'}]}]",IT
30,"[{'name': 'JO: zain JO', 'in_use': True, 'carrier_id': '4160000', 'value': [{'in_use': True, 'hni_id': '41601'}]}, {'name': 'JO: Orange', 'in_use': True, 'carrier_id': '4160001', 'value': [{'in_use': True, 'hni_id': '41677'}]}, {'name': 'JO: Umniah', 'in_use': True, 'carrier_id': '4160002', 'value': [{'in_use': True, 'hni_id': '41603'}]}]",JO
