,id,sub_targeting_type,name,children_ids,level,supported_special_industries,hashtag_type
590,25100109,GENERAL_INTEREST,Action-adventure Games,[],3,[],
591,25999001010,GENERAL_INTEREST,Simulation,[],4,[],
592,14103101103,GENERAL_INTEREST,Facial Essence,[],4,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
593,25998001,GENERAL_INTEREST,Asian Cultural,['25998001001'],3,[],
594,14104108,GENERAL_INTEREST,Makeup Sets,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
595,14100103,GENERAL_INTEREST,Toothbrushes & Tools,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
596,24119,GENERAL_INTEREST,Investment Planning & Management,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
597,23111,GENERAL_INTEREST,Collectables & Antiques,[],2,[],
598,25999002013,GENERAL_INTEREST,Shark,[],4,[],
599,22110115,GENERAL_INTEREST,Tights,[],3,[],
600,11102,GENERAL_INTEREST,Auto Services,"['11102100', '11102101']",2,[],
601,17103100,GENERAL_INTEREST,Luxury Hotels,[],3,[],
602,20106102,GENERAL_INTEREST,Money Management & Bookkeeping,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
603,17105105,GENERAL_INTEREST,Museum Exhibits,[],3,[],
604,14104107,GENERAL_INTEREST,Nail Art Products,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
605,25999006003,GENERAL_INTEREST,Simulation Racing,[],4,[],
606,25,GENERAL_INTEREST,Games,"['25100', '25992', '25993', '25996', '25998', '25999']",1,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
607,25999002005,GENERAL_INTEREST,MOBA,[],4,[],
608,25998021,GENERAL_INTEREST,Western Historical,"['25998021001', '25998021002']",3,[],
609,25999013006,GENERAL_INTEREST,Go-Stop,[],4,[],
610,14104100103,GENERAL_INTEREST,"Blush, Highlighters & Contouring",[],4,[],
611,25100110,GENERAL_INTEREST,Puzzle Games,[],3,[],
612,25999010002,GENERAL_INTEREST,Other Sports,[],4,[],
613,22108106,GENERAL_INTEREST,Shorts,[],3,[],
614,23104,GENERAL_INTEREST,Culture & History,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
615,10104109,GENERAL_INTEREST,Driving Schools & Pilot Training,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
616,22102101,GENERAL_INTEREST,Wallets,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
617,26105104,GENERAL_INTEREST,Home Moving Services,[],3,[],
618,23117100,GENERAL_INTEREST,Reality Shows,[],3,[],
619,23118103,GENERAL_INTEREST,Comics,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
620,10102,GENERAL_INTEREST,Higher Education,"['10102100', '10102101']",2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
621,25999011010,GENERAL_INTEREST,RTS,[],4,[],
622,25998003003,GENERAL_INTEREST,Japanese History,[],4,[],
623,25999012003,GENERAL_INTEREST,Dance,[],4,[],
624,25100111,GENERAL_INTEREST,Match-three,[],3,[],
625,25100102,GENERAL_INTEREST,Strategy Games,"['25100102100', '25100102102', '25100102103']",3,[],
626,13102,GENERAL_INTEREST,Insurance,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
627,22109,GENERAL_INTEREST,Men's Shoes,"['22109100', '22109101', '22109102', '22109103', '22109104']",2,[],
628,25992001,GENERAL_INTEREST,IAA,[],3,[],
629,22110103,GENERAL_INTEREST,Athleisure,[],3,[],
630,25100101102,GENERAL_INTEREST,Life Simulation Games,[],4,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
631,25999003005,GENERAL_INTEREST,Dominoes,[],4,[],
632,14103101105,GENERAL_INTEREST,Facial Masks,[],4,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
633,25100104105,GENERAL_INTEREST,American Football,[],4,[],
634,14100102,GENERAL_INTEREST,Oral Care Kits,[],3,[],
635,18105,GENERAL_INTEREST,Kitchen Accessories,[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
636,10106103,GENERAL_INTEREST,Sports,[],3,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
637,14103105,GENERAL_INTEREST,Hand & Foot Care,[],3,[],
638,25999009017,GENERAL_INTEREST,Pet,[],4,[],
639,25999003002,GENERAL_INTEREST,Chinese Card or Board,[],4,[],
640,25100102100,GENERAL_INTEREST,Turn-based Strategy Games,[],4,[],
641,24108,GENERAL_INTEREST,"Agriculture, Forestry, Animal Husbandry & Fishing",[],2,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
642,25999004005,GENERAL_INTEREST,Line-Saga,[],4,[],
643,18104,GENERAL_INTEREST,Coffee Accessories,[],2,[],
644,22,GENERAL_INTEREST,Apparel & Accessories,"['22101', '22102', '22105', '22106', '22107', '22108', '22109', '22110', '22111', '22112', '22113']",1,"['HOUSING', 'EMPLOYMENT', 'CREDIT']",
645,14103102,GENERAL_INTEREST,Eye Care,[],3,[],
646,25999011008,GENERAL_INTEREST,Summoning,[],4,[],
647,25998018,GENERAL_INTEREST,Sports,"['25998018001', '25998018002', '25998018003', '25998018004', '25998018005', '25998018006', '25998018007', '25998018008', '25998018009', '25998018010', '25998018011', '25998018012', '25998018013', '25998018014', '25998018015', '25998018016', '25998018017', '25998018018', '25998018019']",3,[],
